id,name,alcoholic,category,glassType,instructions,drinkThumbnail,ingredients,ingredientMeasures,text
191,Jack Rose Cocktail,alcoholic,ordinary drink,cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg,"['apple brandy', 'grenadine', 'lime']","['1 1/2 oz ', '1 tsp ', 'Juice of 1/2 ']","question Generate a cocktail with Apple brandy Grenadine Lime answer Shake all ingredients with ice, strain into a cocktail glass, and serve."
192,Jack's Vanilla Coke,alcoholic,other / unknown,old-fashioned glass,"After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.",https://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg,"['ice', 'tennessee whiskey', 'vanilla extract', 'coca-cola']","['4-5 ', '2 oz ', '1 tsp ', '10-12 oz ']","question Generate a cocktail with Ice Tennessee whiskey Vanilla extract Coca-Cola answer After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom."
193,Kir,alcoholic,ordinary drink,wine glass,"Add the crème de cassis to the bottom of the glass, then top up with wine.",https://www.thecocktaildb.com/images/media/drink/apneom1504370294.jpg,"['creme de cassis', 'champagne']","['1 part ', '5 parts ']","question Generate a cocktail with Creme de Cassis Champagne answer Add the crème de cassis to the bottom of the glass, then top up with wine."
194,Karsk,alcoholic,ordinary drink,highball glass,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.",https://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg,"['coffee', 'grain alcohol']","['1 part ', '2 parts ']","question Generate a cocktail with Coffee Grain alcohol answer Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality."
195,Kamikaze,alcoholic,ordinary drink,cocktail glass,"Shake all ingredients together with ice. Strain into glass, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/d7ff7u1606855412.jpg,"['vodka', 'triple sec', 'lime juice']","['1 oz ', '1 oz ', '1 oz ']","question Generate a cocktail with Vodka Triple sec Lime juice answer Shake all ingredients together with ice. Strain into glass, garnish and serve."
196,Kir Royale,alcoholic,ordinary drink,champagne flute,"Pour Creme de cassis in glass, gently pour champagne on top",https://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg,"['creme de cassis', 'champagne']","['1 part ', '5 parts ']","question Generate a cocktail with Creme de Cassis Champagne answer Pour Creme de cassis in glass, gently pour champagne on top"
197,Kiwi Lemon,alcoholic,ordinary drink,highball glass,Mix in highball glass. Stirr. Garnish with slice of kiwi.,https://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg,"['kiwi liqueur', 'bitter lemon', 'ice']","['1 part ', '2 parts ', 'cubes']",question Generate a cocktail with Kiwi liqueur Bitter lemon Ice answer Mix in highball glass. Stirr. Garnish with slice of kiwi.
198,Kurant Tea,alcoholic,coffee / tea,champagne flute,"Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!",https://www.thecocktaildb.com/images/media/drink/xrsrpr1441247464.jpg,"['absolut kurant', 'tea', 'sugar']","['4 cl ', 'Turkish apple ', ' (if needed)\n']","question Generate a cocktail with Absolut Kurant Tea Sugar answer Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!"
199,Kioki Coffee,alcoholic,coffee / tea,coffee mug,Stir. Add whipped cream to the top.,https://www.thecocktaildb.com/images/media/drink/uppqty1441247374.jpg,"['kahlua', 'brandy', 'coffee']","['1 oz ', '1/2 oz ', 'to taste']",question Generate a cocktail with Kahlua Brandy Coffee answer Stir. Add whipped cream to the top.
200,Kiwi Martini,alcoholic,cocktail,cocktail glass,"The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit. Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink.

For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka. It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka.",https://www.thecocktaildb.com/images/media/drink/bmxmyq1630407098.jpg,"['kiwi', 'sugar syrup', 'vodka', 'kiwi']","['1/2', '1 tsp', '1 1/2 oz', 'Garnish with']","question Generate a cocktail with Kiwi Sugar Syrup Vodka Kiwi answer The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit. Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink.

For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka. It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka."
201,Kiss me Quick,alcoholic,ordinary drink,highball glass,mix in the glass,https://www.thecocktaildb.com/images/media/drink/m7iaxu1504885119.jpg,"['cranberry vodka', 'apfelkorn', 'schweppes russchian', 'apple juice', 'ice']","['4 cl ', '2 cl ', '7 cl ', '8 cl ', 'cubes']",question Generate a cocktail with Cranberry vodka Apfelkorn Schweppes Russchian Apple juice Ice answer mix in the glass
202,Kool-Aid Shot,alcoholic,shot,old-fashioned glass,Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,https://www.thecocktaildb.com/images/media/drink/fegm621503564966.jpg,"['vodka', 'amaretto', 'sloe gin', 'triple sec', 'cranberry juice']","['1 shot ', '1 shot ', '1 shot ', '1 shot ', 'to taste']",question Generate a cocktail with Vodka Amaretto Sloe gin Triple sec Cranberry juice answer Pour into a large glass with ice and stir. Add a little cranberry juice to taste.
203,Kool First Aid,alcoholic,shot,shot glass,"Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.",https://www.thecocktaildb.com/images/media/drink/hfp6sv1503564824.jpg,"['151 proof rum', 'kool-aid']","['2 oz light ', '1/2 tsp Tropical ']","question Generate a cocktail with 151 proof rum Kool-Aid answer Add Kool Aid to a double shot glass, and top with rum. Slam and shoot."
204,Kentucky B And B,alcoholic,ordinary drink,brandy snifter,Pour the bourbon and Benedictine into a brandy snifter.,https://www.thecocktaildb.com/images/media/drink/sqxsxp1478820236.jpg,"['bourbon', 'benedictine']","['2 oz ', '1/2 oz ']",question Generate a cocktail with Bourbon Benedictine answer Pour the bourbon and Benedictine into a brandy snifter.
205,Kentucky Colonel,alcoholic,ordinary drink,cocktail glass,In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.,https://www.thecocktaildb.com/images/media/drink/utqwpu1478820348.jpg,"['bourbon', 'benedictine', 'lemon peel']","['3 oz ', '1/2 oz ', '1 twist of ']",question Generate a cocktail with Bourbon Benedictine Lemon peel answer In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.
206,Kool-Aid Slammer,alcoholic,shot,shot glass,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.",https://www.thecocktaildb.com/images/media/drink/kugu2m1504735473.jpg,"['kool-aid', 'vodka']","['1/2 oz Grape ', '1/2 oz ']","question Generate a cocktail with Kool-Aid Vodka answer Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid."
207,Kiwi Papaya Smoothie,non alcoholic,other / unknown,highball glass,Throw everything into a blender and liquify.,https://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg,"['kiwi', 'papaya']","['3 ', '1/2 ']",question Generate a cocktail with Kiwi Papaya answer Throw everything into a blender and liquify.
208,Kill the cold Smoothie,non alcoholic,other / unknown,highball glass,Juice ginger and lemon and add it to hot water. You may add cardomom.,https://www.thecocktaildb.com/images/media/drink/7j1z2e1487603414.jpg,"['ginger', 'lemon', 'water']","['1 inch ', '1/4 ', '1 cup hot ']",question Generate a cocktail with Ginger Lemon Water answer Juice ginger and lemon and add it to hot water. You may add cardomom.
209,Limeade,non alcoholic,other / unknown,highball glass,"In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.",https://www.thecocktaildb.com/images/media/drink/5jdp5r1487603680.jpg,"['lime', 'sugar', 'soda water', 'lime peel']","['Juice of 1 ', '1 tblsp ', ' (seltzer water)\n', 'to taste']","question Generate a cocktail with Lime Sugar Soda water Lime peel answer In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out."
210,Lunch Box,alcoholic,beer,pint glass,Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.,https://www.thecocktaildb.com/images/media/drink/qywpvt1454512546.jpg,"['beer', 'amaretto', 'orange juice']","['3/4 bottle ', '1 shot ', '1 oz ']",question Generate a cocktail with Beer Amaretto Orange juice answer Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.
211,Lemon Drop,alcoholic,cocktail,cocktail glass,Shake and strain into a chilled cocktail glass rimmed with sugar.,https://www.thecocktaildb.com/images/media/drink/mtpxgk1504373297.jpg,"['vodka', 'cointreau', 'lemon']","['1 1/2 shot ', '1 1/2 shot ', 'Juice of 1 wedge ']",question Generate a cocktail with Vodka Cointreau Lemon answer Shake and strain into a chilled cocktail glass rimmed with sugar.
212,Lemon Shot,alcoholic,shot,shot glass,"Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade.",https://www.thecocktaildb.com/images/media/drink/mx31hv1487602979.jpg,"['galliano', 'absolut citron', 'lemon', 'sugar', '151 proof rum']","['1/2 oz ', '1/2 oz ', ' wedge\n', 'Bacardi ', 'to taste']","question Generate a cocktail with Galliano Absolut Citron Lemon Sugar 151 proof rum answer Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade."
213,Long vodka,alcoholic,ordinary drink,highball glass,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka",https://www.thecocktaildb.com/images/media/drink/9179i01503565212.jpg,"['vodka', 'lime', 'angostura bitters', 'tonic water', 'ice']","['5 cl ', '1/2 ', '4 dashes ', '1 dl Schweppes ', '4 ']","question Generate a cocktail with Vodka Lime Angostura bitters Tonic water Ice answer Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka"
214,Lassi Khara,non alcoholic,other / unknown,highball glass,Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.,https://www.thecocktaildb.com/images/media/drink/m1suzm1487603970.jpg,"['yoghurt', 'water', 'salt', 'asafoetida']","['1 cup ', '2 cups cold ', '1 tsp ', '1 pinch ']",question Generate a cocktail with Yoghurt Water Salt Asafoetida answer Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.
215,Lassi Raita,non alcoholic,other / unknown,highball glass,"Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead.",https://www.thecocktaildb.com/images/media/drink/s4x0qj1487603933.jpg,"['yoghurt', 'ice', 'sugar', 'lime', 'salt']","['2 cups ', '4-6 ', 'to taste', 'to taste', 'to taste']","question Generate a cocktail with Yoghurt Ice Sugar Lime Salt answer Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead."
216,Lemouroudji,non alcoholic,other / unknown,highball glass,"Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve.",https://www.thecocktaildb.com/images/media/drink/eirmo71487603745.jpg,"['ginger', 'water', 'lemon', 'sugar', 'cayenne pepper']","['2 pieces ', '1 gal ', '1 lb ', '1 cup ', 'ground ']","question Generate a cocktail with Ginger Water Lemon Sugar Cayenne pepper answer Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve."
217,Loch Lomond,alcoholic,ordinary drink,cocktail glass,"In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",https://www.thecocktaildb.com/images/media/drink/rpvtpr1468923881.jpg,"['scotch', 'drambuie', 'dry vermouth', 'lemon peel']","['2 oz ', '1/2 oz ', '1/2 oz ', '1 twist of ']","question Generate a cocktail with Scotch Drambuie Dry Vermouth Lemon peel answer In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist."
218,London Town,alcoholic,ordinary drink,cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rpsrqv1468923507.jpg,"['gin', 'maraschino liqueur', 'orange bitters']","['1 1/2 oz ', '1/2 oz ', '2 dashes ']","question Generate a cocktail with Gin Maraschino liqueur Orange bitters answer In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
219,Lassi - Mango,non alcoholic,other / unknown,highball glass,Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.,https://www.thecocktaildb.com/images/media/drink/1bw6sd1487603816.jpg,"['mango', 'yoghurt', 'sugar', 'water']","['2 ', '2 cups ', '1/2 cup ', '1 cup iced ']",question Generate a cocktail with Mango Yoghurt Sugar Water answer Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.
220,Lassi - Sweet,non alcoholic,other / unknown,highball glass,Put all ingredients into a blender and blend until nice and frothy. Serve chilled.,https://www.thecocktaildb.com/images/media/drink/9jeifz1487603885.jpg,"['yoghurt', 'water', 'sugar', 'salt', 'lemon juice']","['1 cup ', '2 cups cold ', '4 tblsp ', 'pinch ', '2 tblsp ']",question Generate a cocktail with Yoghurt Water Sugar Salt Lemon juice answer Put all ingredients into a blender and blend until nice and frothy. Serve chilled.
221,Limona Corona,alcoholic,beer,beer glass,"Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink.",https://www.thecocktaildb.com/images/media/drink/wwqrsw1441248662.jpg,"['corona', 'bacardi limon']","['1 bottle ', '1 oz ']","question Generate a cocktail with Corona Bacardi Limon answer Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink."
222,Lord And Lady,alcoholic,ordinary drink,old-fashioned glass,Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/quwrys1468923219.jpg,"['dark rum', 'tia maria']","['1 1/2 oz ', '1/2 oz ']",question Generate a cocktail with Dark rum Tia maria answer Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.
223,Lady Love Fizz,alcoholic,ordinary drink,cocktail glass,"Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/20d63k1504885263.jpg,"['gin', 'light cream', 'powdered sugar', 'lemon', 'egg white', 'carbonated water']","['2 oz ', '2 tsp ', '1 tsp ', 'Juice of 1/2', '1 ', 'to taste']","question Generate a cocktail with Gin Light cream Powdered sugar Lemon Egg white Carbonated water answer Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve."
224,Long Island Tea,alcoholic,ordinary drink,highball glass,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,https://www.thecocktaildb.com/images/media/drink/nkwr4c1606770558.jpg,"['vodka', 'light rum', 'gin', 'tequila', 'lemon', 'coca-cola']","['1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz ', 'Juice of 1/2 ', '1 splash ']",question Generate a cocktail with Vodka Light rum Gin Tequila Lemon Coca-Cola answer Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.
225,Lone Tree Cooler,alcoholic,ordinary drink,collins glass,"Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass.",https://www.thecocktaildb.com/images/media/drink/wsyqry1479298485.jpg,"['carbonated water', 'gin', 'dry vermouth', 'powdered sugar', 'orange spiral', 'lemon peel']","['to taste', 'to taste', 'to taste', 'to taste', 'to taste', 'to taste']","question Generate a cocktail with Carbonated water Gin Dry Vermouth Powdered sugar Orange spiral Lemon peel answer Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass."
226,Lone Tree Cocktail,alcoholic,ordinary drink,cocktail glass,"Stir ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/tsxpty1468923417.jpg,"['sweet vermouth', 'gin']","['3/4 oz ', '1 1/2 oz ']","question Generate a cocktail with Sweet Vermouth Gin answer Stir ingredients with ice, strain into a cocktail glass, and serve."
227,Lazy Coconut Paloma,alcoholic,cocktail,highball glass,Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.,https://www.thecocktaildb.com/images/media/drink/rytuex1598719770.jpg,"['coconut liqueur', 'grapefruit juice', 'soda water']","['30 ml', '75 ml', 'Top']",question Generate a cocktail with Coconut Liqueur Grapefruit Juice Soda Water answer Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.
228,Long Island Iced Tea,alcoholic,ordinary drink,highball glass,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,https://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg,"['vodka', 'tequila', 'light rum', 'gin', 'coca-cola', 'lemon peel']","['1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz ', '1 dash ', 'Twist of ']",question Generate a cocktail with Vodka Tequila Light rum Gin Coca-Cola Lemon peel answer Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.
229,Lemon Elderflower Spritzer,alcoholic,cocktail,highball glass,"Pour all ingredients over ice, stir and enjoy!
",https://www.thecocktaildb.com/images/media/drink/125w0o1630407389.jpg,"['elderflower cordial', 'vodka', 'soda water', 'fresh lemon juice']","['2 tsp', '1 shot', '1/3 cup', 'Top']","question Generate a cocktail with Elderflower cordial Vodka Soda Water Fresh Lemon Juice answer Pour all ingredients over ice, stir and enjoy!
"
230,Lassi - A South Indian Drink,non alcoholic,other / unknown,highball glass,"Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold.",https://www.thecocktaildb.com/images/media/drink/iq6scx1487603980.jpg,"['yoghurt', 'water', 'cumin seed', 'salt', 'mint']","['1/2 cup plain ', '1 1/4 cup cold ', '1/2 tsp ground roasted ', '1/4 tsp ', '1/4 tsp dried ']","question Generate a cocktail with Yoghurt Water Cumin seed Salt Mint answer Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold."
231,Melya,non alcoholic,coffee / tea,coffee mug,"Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.",https://www.thecocktaildb.com/images/media/drink/xwtptq1441247579.jpg,"['espresso', 'honey', 'cocoa powder']","['to taste', 'Unsweetened ', 'to taste']","question Generate a cocktail with Espresso Honey Cocoa powder answer Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream."
232,Mojito,alcoholic,cocktail,highball glass,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,https://www.thecocktaildb.com/images/media/drink/metwgh1606770327.jpg,"['light rum', 'lime', 'sugar', 'mint', 'soda water']","['2-3 oz ', 'Juice of 1 ', '2 tsp ', '2-4 ', 'to taste']",question Generate a cocktail with Light rum Lime Sugar Mint Soda water answer Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
233,Mimosa,alcoholic,ordinary drink,champagne flute,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.",https://www.thecocktaildb.com/images/media/drink/juhcuu1504370685.jpg,"['champagne', 'orange juice']","['Chilled ', '2 oz ']","question Generate a cocktail with Champagne Orange juice answer Ensure both ingredients are well chilled, then mix into the glass. Serve cold."
234,Mai Tai,alcoholic,ordinary drink,collins glass,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,https://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg,"['light rum', 'orgeat syrup', 'triple sec', 'sweet and sour', 'cherry']","['1 oz ', '1/2 oz ', '1/2 oz ', '1 1/2 oz ', '1 ']",question Generate a cocktail with Light rum Orgeat syrup Triple sec Sweet and sour Cherry answer Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.
235,Martini,alcoholic,cocktail,cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",https://www.thecocktaildb.com/images/media/drink/71t8581504353095.jpg,"['gin', 'dry vermouth', 'olive']","['1 2/3 oz ', '1/3 oz ', '1 ']","question Generate a cocktail with Gin Dry Vermouth Olive answer Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
236,Michelada,alcoholic,cocktail,pint glass,"Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.
Served In a chilled, salt-rimmed glass
",https://www.thecocktaildb.com/images/media/drink/u736bd1605907086.jpg,"['beer', 'tomato juice', 'lime juice', 'hot sauce', 'worcestershire sauce', 'soy sauce']","['4 oz', '4 oz', '1 tblsp', 'Dash', 'Dash', 'Dash']","question Generate a cocktail with Beer Tomato Juice Lime Juice Hot Sauce Worcestershire Sauce Soy Sauce answer Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.
Served In a chilled, salt-rimmed glass
"
237,Manhattan,alcoholic,cocktail,cocktail glass,"Stirred over ice, strained into a chilled glass, garnished, and served up.",https://www.thecocktaildb.com/images/media/drink/yk70e31606771240.jpg,"['sweet vermouth', 'bourbon', 'angostura bitters', 'ice', 'maraschino cherry', 'orange peel']","['3/4 oz ', '2 1/2 oz Blended ', 'dash ', '2 or 3 ', '1 ', '1 twist of ']","question Generate a cocktail with Sweet Vermouth Bourbon Angostura bitters Ice Maraschino cherry Orange peel answer Stirred over ice, strained into a chilled glass, garnished, and served up."
238,Margarita,alcoholic,ordinary drink,cocktail glass,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",https://www.thecocktaildb.com/images/media/drink/5noda61589575158.jpg,"['tequila', 'triple sec', 'lime juice', 'salt']","['1 1/2 oz ', '1/2 oz ', '1 oz ', 'to taste']","question Generate a cocktail with Tequila Triple sec Lime juice Salt answer Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
239,Mauresque,alcoholic,cocktail,collins glass,"1 - Pour the Ricard (or pastis)
2 - Pour the orgeat syrup
3 - Finally pour the water and add ice cubes at your convenience.

Add the ice cubes at the end, otherwise the syrup and pastis do not mix well.",https://www.thecocktaildb.com/images/media/drink/duwfa11686236556.jpg,"['ricard', 'orgeat syrup', 'water', '', '', '', '']","['3 cl', '1 cl', 'Full Glass', '', '', '', '']","question Generate a cocktail with Ricard Orgeat Syrup Water     answer 1 - Pour the Ricard (or pastis)
2 - Pour the orgeat syrup
3 - Finally pour the water and add ice cubes at your convenience.

Add the ice cubes at the end, otherwise the syrup and pastis do not mix well."
240,Mint Julep,alcoholic,ordinary drink,collins glass,"In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig.",https://www.thecocktaildb.com/images/media/drink/squyyq1439907312.jpg,"['mint', 'bourbon', 'powdered sugar', 'water']","['4 fresh ', '2 1/2 oz ', '1 tsp ', '2 tsp ']","question Generate a cocktail with Mint Bourbon Powdered sugar Water answer In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig."
241,Mudslinger,alcoholic,punch / party drink,punch bowl,Add all contents to a large jug or punch bowl. Stir well!,https://www.thecocktaildb.com/images/media/drink/hepk6h1504885554.jpg,"['southern comfort', 'orange juice', 'pepsi cola']","['750 ml ', '1 L ', '750 ml ']",question Generate a cocktail with Southern Comfort Orange juice Pepsi Cola answer Add all contents to a large jug or punch bowl. Stir well!
242,Martinez 2,alcoholic,cocktail,cocktail glass,"Add all ingredients to a mixing glass and fill with ice.

Stir until chilled, and strain into a chilled coupe glass.",https://www.thecocktaildb.com/images/media/drink/fs6kiq1513708455.jpg,"['gin', 'sweet vermouth', 'maraschino liqueur', 'angostura bitters']","['1 1/2 oz', '1 1/2 oz', '1 tsp', '2 dashes']","question Generate a cocktail with Gin Sweet Vermouth Maraschino Liqueur Angostura Bitters answer Add all ingredients to a mixing glass and fill with ice.

Stir until chilled, and strain into a chilled coupe glass."
